{Q}question1;{false}answer1;{false}answer2;{true}answer3;{true}answer4;{false}answer5
{Q}question2;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question3;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question4;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question5;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question6;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question7;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question8;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question9;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question10;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question11;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question12;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question13;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question14;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question15;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question16;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question17;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question18;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question19;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6
{Q}question20;{true}answer2;{false}answer3;{false}answer4;{false}answer5;{false}answer6


